Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
6861,2773196,550 Barry Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026060204,2026060204,Not Available,550 Barry Street,Not Available,10474,550,BARRY STREET,Bronx,53000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,53000,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,73,31.9,37.1,1.7,0.3,51.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1383799.9,16578,309134,90602,102.2,73.5,28.7,53000,271.9,5.13,45.7,04/12/2017 9:25:47,Yes,In Compliance,40.809813,-73.895096,2,17,93,Hunts Point
6862,2738143,Midland Steel Whse. Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026060230,2026060230,2004168,1120 Leggett Avenue,Not Available,10474,1120,LEGGETT AVENUE,Bronx,62999,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Parking",Non-Refrigerated Warehouse,59400,Office,12800,Parking,0,1927,1,100,Whole Building,Whole Building,Not Available,22.2,22.2,6.5,Not Available,69.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1605175.4,470449.9,149,0,149,72200,182.9,2.53,69.8,05/01/2017 11:57:10,No,In Compliance,40.811448,-73.894302,2,17,93,Hunts Point
6863,5858683,Victory Food Service - 515 Truxton St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026060252,2-02606-0252,2004170,515 Truxton Street,Not Available,10474,515,TRUXTON STREET,Bronx,63138,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,47642,Refrigerated Warehouse,9696,Office,5800,1960,1,100,Whole Building,Not Available,1,134,135.9,32.4,0.3,373.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1407370.2,16073.7,7055951,2042860,729.5,74.8,654.8,63138,Not Available,Not Available,374.3,06/14/2017 03:09:22 PM,Yes,In Compliance,40.809671,-73.893015,2,17,93,Hunts Point
6865,4929110,1100 Frankin Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026070049,2026070049,2113109,1100 Frankin Avenue,Not Available,10456,564,EAST 166 STREET,Bronx,68306,Multifamily Housing,Multifamily Housing,Multifamily Housing,68316,Not Available,Not Available,Not Available,Not Available,2005,1,100,Whole Building,Not Available,82,62.2,62.2,3.9,0.5,93.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3328229.9,33282.3,918377.1,269160.9,262,176.8,85.2,68316,Not Available,Not Available,93.4,04/27/2017 03:39:28 PM,No,In Compliance,40.827874,-73.905857,3,16,185,Morrisania-Melrose
6868,3105213,3462-3480 Third Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026097501,2-02609-7501,2118328;2115273,3462-3480 Third Avenue,Not Available,10451,3462,3 AVENUE,Bronx,273638,Multifamily Housing,Multifamily Housing,Multifamily Housing,270000,Not Available,Not Available,Not Available,Not Available,2010,1,100,Whole Building,Whole Building,10,110.5,112.9,7.4,0.9,171.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.28352998E7,236708.5,7005594.1,1998387.9,1863,1212.9,650.1,270000,24001.2,88.89,170.3,05/01/2017 10:03:32,Yes,In Compliance,40.829862,-73.906374,3,16,145,Claremont-Bathgate
6870,4942229,Bronx-Lebanon Hospital-Specialty Care Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026100042,2-02610-0042,2091800,1265 Fulton Avenue,Not Available,10456,1265,FULTON AVENUE,Bronx,108501,Medical Office,Medical Office,Medical Office,110000,Not Available,Not Available,Not Available,Not Available,1991,1,100,Whole Building,Whole Building,46,121.9,124.7,22.9,0.5,294.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4818600,51264.2,8594146,2518799.8,1053.5,255.9,797.5,110000,993.1,09.03,291.3,03/30/2017 02:55:31 PM,Yes,In Compliance,40.831589,-73.903868,3,16,145,Claremont-Bathgate
6872,5870231,1229 Franklin Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026120058,2026120058,2004257,1229 Franklin Avenue,Not Available,10456,1229,FRANKLIN AVENUE,Bronx,68722,Multifamily Housing,Multifamily Housing,Multifamily Housing,68722,Not Available,Not Available,Not Available,Not Available,2007,1,100,Whole Building,Not Available,26,113,113.2,7.6,0.1,169.8,Not Available,Not Available,Not Available,5252091.4,Not Available,Not Available,734041,7477.4,1776875.5,520772.4,599.6,434.7,164.9,68722,Not Available,Not Available,169.6,04/27/2017 03:39:28 PM,Yes,In Compliance,40.830559,-73.903241,3,16,149,Morrisania-Melrose
6874,4929111,1208 Frankin Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026140019,2026140019,2113111,1208 Frankin Avenue,Not Available,10456,1208,FRANKLIN AVENUE,Bronx,68300,Multifamily Housing,Multifamily Housing,Multifamily Housing,68310,Not Available,Not Available,Not Available,Not Available,2006,1,100,Whole Building,Not Available,59,70.1,70.1,5.1,0.5,109.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3608239.8,36082.4,1177677.8,345157.6,300.9,191.7,109.3,68310,5113.9,74.86,109.6,04/27/2017 03:39:28 PM,Yes,In Compliance,40.829972,-73.903874,3,16,185,Morrisania-Melrose
6875,2506975,590 Five Corp,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026140061,2-02614-0061,2004293,595 E. 167th Street,Not Available,10456,587,EAST 167 STREET,Bronx,66078,Multifamily Housing,Multifamily Housing,Multifamily Housing,66078,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Whole Building,67,88.3,93,4.6,0.8,130.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4748100.2,51078.7,1084340.4,304959.5,352.8,252.2,100.6,66078,6612.8,100.08,127,05/01/2017 10:03:32,No,In Compliance,40.82871,-73.904634,3,16,185,Morrisania-Melrose
6876,5870232,1250 Franklin Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026150008,2026150008,2004300,1250 Franklin Avenue,Not Available,10456,1250,FRANKLIN AVENUE,Bronx,59814,Multifamily Housing,Multifamily Housing,Multifamily Housing,59814,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,68,101.7,101.5,4.5,0.1,135.1,Not Available,Not Available,Not Available,4801265.8,Not Available,Not Available,349841,3617.4,929272.1,266362.9,466.6,380.4,86.2,59814,Not Available,Not Available,136,04/27/2017 03:39:28 PM,Yes,In Compliance,40.830872,-73.90285,3,16,149,Morrisania-Melrose
6879,2800327,1211 Boston Road - 32425,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026150057,2-02615-0057,2004312,1211 Boston Road,Not Available,10456,631,EAST 168 STREET,Bronx,74990,Multifamily Housing,"Multifamily Housing, Office, Supermarket/Grocery Store",Multifamily Housing,66138,Office,860,Supermarket/Grocery Store,700,1910,1,100,Whole Building,Not Available,Not Available,103.2,108.6,8.7,0.8,176.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4955375,53321.3,2032763.1,591291.9,451.8,263.2,188.6,67698,7084.8,104.65,171.1,04/24/2017 10:23:36 AM,No,In Compliance,40.830095,-73.903053,3,16,149,Morrisania-Melrose
6880,4034914,Chestnut - 615 East 168th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026150065,2-02615-0065,2004313,615 East 168th Street,Not Available,10456,615,EAST 168 STREET,Bronx,52150,Multifamily Housing,Multifamily Housing,Multifamily Housing,54000,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Whole Building,98,75.8,80.2,3.9,0.7,112,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3352881.7,36096.7,739510.8,210949.2,246.7,178.1,68.6,54000,4202.8,77.83,108.2,05/01/2017 14:58:14,Yes,In Compliance,40.830175,-73.903176,3,16,149,Morrisania-Melrose
6884,3529399,Wavecrest - 601 East 156th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026187501,2-02618-7501,2117694;2117695;2117693;2116159;2117696;2116170,601-609 East 156th Street,756-820 St. Anns Avenue,10455,601,EAST 156 STREET,Bronx,684900,Multifamily Housing,Multifamily Housing,Multifamily Housing,739692,Not Available,Not Available,Not Available,Not Available,2009,1,100,Whole Building,Not Available,91,47,48.8,4.8,0.3,85.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22420679,238871.6,12359567.9,3568958.4,2337.8,1190.9,1147,739692,Not Available,Not Available,84.3,05/01/2017 14:58:14,No,In Compliance,40.819056,-73.909938,1,17,75,Melrose South-Mott Haven North
6885,4425256,970 Boston Road,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026210001,2026210001,2004388,970 Boston Road,Not Available,10465,3250,3 AVENUE,Bronx,181500,Multifamily Housing,Multifamily Housing,Multifamily Housing,181510,Not Available,Not Available,Not Available,Not Available,1982,1,100,Whole Building,Not Available,30,96,101,6.4,0.8,151.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.34536282E7,143601.4,3970175.2,1163591.7,1083,714.6,368.4,181510,13348.8,73.54,146.5,04/26/2017 10:11:00 AM,Yes,In Compliance,40.824144,-73.908662,3,16,185,Morrisania-Melrose
6886,3547857,576 E 165th Street - 39963,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026220005,2-02622-0005,2004395,576 E 165th Street,Not Available,10456,576,EAST 165 STREET,Bronx,66400,Multifamily Housing,Multifamily Housing,Multifamily Housing,82709,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Whole Building,57,70.7,73.4,6.6,0.5,124.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3922446.2,42033.7,1924174.5,547241.8,386.9,208.3,178.6,82709,7188.8,86.92,122.8,04/24/2017 11:37:33 AM,Yes,In Compliance,40.825695,-73.906615,3,16,185,Morrisania-Melrose
6887,2784277,611 East 149th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026230060,2-02623-0060,2004415,611 East 149th Street,Not Available,10455,611,EAST 149 STREET,Bronx,50254,Multifamily Housing,Multifamily Housing,Multifamily Housing,56252,Not Available,Not Available,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,90,64.4,68.8,4.4,0.5,103.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2760784.3,30311,861424.1,246034.7,226.6,146.6,79.9,56252,2926.8,52.03,99.6,04/27/2017 11:52:37 AM,Yes,In Compliance,40.813787,-73.911469,1,17,73,Melrose South-Mott Haven North
6888,2816537,610 Trinity Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026230151,2-02623-0151,2004420,610 Trinity Avenue,Not Available,10455,610,TRINITY AVENUE,Bronx,79500,Multifamily Housing,Multifamily Housing,Multifamily Housing,79500,Not Available,Not Available,Not Available,Not Available,1937,1,100,Whole Building,Whole Building,40,89.2,93.3,4.6,0.6,129.8,Not Available,1311965.8,Not Available,Not Available,Not Available,Not Available,4497659.2,46930,1279521.8,363577,455,336.3,118.7,79500,Not Available,Not Available,126.6,05/12/2017 16:33:08,Yes,In Compliance,40.81456,-73.909604,1,8,73,Melrose South-Mott Haven North
6889,2665259,620 Trinity Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026230180,2026230180,2004426,620 Trinity Avenue,Not Available,10455,620,TRINITY AVENUE,Bronx,76620,Multifamily Housing,Multifamily Housing,Multifamily Housing,76610,Not Available,Not Available,Not Available,Not Available,1937,1,100,Whole Building,Whole Building,53,93.7,100.6,5.7,0.8,146.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5684263.6,62141.4,1493839.9,437819.4,440.5,301.9,138.6,76610,8906.7,116.26,139.1,04/25/2017 04:56:25 PM,No,In Compliance,40.815122,-73.909405,1,8,73,Melrose South-Mott Haven North
6891,2831195,SOUTH BRONX AREA (SITE 402),Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026260001,2026260001,2091325;2091326;2091327;2091328,845 CAULDWELL AVENUE,Not Available,10456,611,EAST 158 STREET,Bronx,127942,Multifamily Housing,Multifamily Housing,Multifamily Housing,125970,Not Available,Not Available,Not Available,Not Available,1988,4,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.05447227E7,Not Available,3544362.3,Not Available,Not Available,Not Available,328.9,125970,Not Available,Not Available,Not Available,06/01/2017 16:08:03,No,In Compliance,40.820323,-73.909036,1,17,75,Melrose South-Mott Haven North
6894,4585551,665 East 163rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026320001,2026320001,2004497,665 East 163rd Street,Not Available,10456,665,EAST 163 STREET,Bronx,111425,Multifamily Housing,Multifamily Housing,Multifamily Housing,111435,Not Available,Not Available,Not Available,Not Available,1982,1,100,Whole Building,Not Available,92,51.1,53.9,3.1,0.4,78.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4502999.1,48204.6,1188950.9,348461.5,349.5,239.2,110.3,111435,4176.4,37.48,75.9,04/26/2017 10:11:00 AM,No,In Compliance,40.82345,-73.906167,3,16,185,Morrisania-Melrose
6897,2744603,Prestige MGMT - Woodstock Terrace,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026380001,2-02638-0001,2091949;2091950;2805757;2805765 ;2825357 ; 2825358  ; 2825359  ; 2825360  ; 2825361 ; 2825362  ;2825363  ; 2825364  ;2825365;2825366; 2825367,890 Trinity Avenue,Not Available,10456,872,TRINITY AVENUE,Bronx,292000,Multifamily Housing,Multifamily Housing,Multifamily Housing,344470,Not Available,Not Available,Not Available,Not Available,1960,1,100,Whole Building,Whole Building,100,25.4,24.4,6,0,68.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1358440,13584.4,7381251.6,2062183.4,757.1,72.2,685,344470,Not Available,Not Available,71.4,05/01/2017 22:21:40,Yes,In Compliance,40.821842,-73.906389,3,16,133,Morrisania-Melrose
6898,4338263,"Dalton, HP Forest Housing Development Fund Company, Inc.",Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026400050,2-02640-0050,2000000,1071 Tinton Avenue,Not Available,10456,1071,TINTON AVENUE,Bronx,120012,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,120012,Parking,9857,Not Available,Not Available,2013,1,100,Whole Building,Whole Building,80,64.3,67,6.5,0.4,116.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4977564.2,53865.7,2737229.4,776654,518.4,264.4,254,120012,5512.5,45.93,115.2,04/26/2017 04:36:56 PM,Yes,In Compliance,40.825766,-73.901874,3,16,135,Morrisania-Melrose
6899,2789423,551 Wales Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026410036,2026410036,2004547,551 Wales Avenue,Not Available,10455,551,WALES AVENUE,Bronx,71854,Multifamily Housing,"Multifamily Housing, Other, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,72237,Other,9955,Urgent Care/Clinic/Other Outpatient,1533,1929,1,100,Whole Building,Whole Building,44,105,111.4,6.1,0,156.7,Not Available,6595309.5,Not Available,Not Available,Not Available,Not Available,412643.7,4126.4,1783457,507497.2,676.9,511.3,165.5,83725,9058.6,108.19,151.6,07/14/2017 02:59:22 PM,No,In Compliance,40.813095,-73.907171,1,8,73,Melrose South-Mott Haven North
6901,3585115,607 CONCORD AVENUE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026420022,2026420022,2114666,607 CONCORD AVENUE,Not Available,10455,607,CONCORD AVENUE,Bronx,58710,Multifamily Housing,Multifamily Housing,Multifamily Housing,58710,Not Available,Not Available,Not Available,Not Available,2002,1,100,Whole Building,Whole Building,90,74.7,79,5.4,0.6,121.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3291627.9,35578.9,1096535.8,315998.2,276.6,174.8,101.8,58710,4780.1,81.42,117.5,03/27/2017 04:49:29 PM,Yes,In Compliance,40.814544,-73.907628,1,8,73,Melrose South-Mott Haven North
6902,4043945,Wavecrest - 600 Concord Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026420070,2-02642-0070,2113113,600 Concord Avenue,Not Available,10455,600,CONCORD AVENUE,Bronx,87072,Multifamily Housing,Multifamily Housing,Multifamily Housing,89684,Not Available,Not Available,Not Available,Not Available,2004,1,100,Whole Building,Whole Building,46,81.5,85.2,5.7,0.7,130,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5544978,59017.9,1763188.2,510167.8,458.1,294.5,163.6,89684,7556.8,84.26,126.7,05/01/2017 14:58:14,Yes,In Compliance,40.814402,-73.907657,1,8,73,Melrose South-Mott Haven North
6925,4409890,The Melody,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026880035,2-02688-0035,2211972,853 Macy Place,Not Available,10455,853,MACY PLACE,Bronx,69640,Multifamily Housing,Multifamily Housing,Multifamily Housing,69640,Not Available,Not Available,Not Available,Not Available,2009,1,100,Whole Building,Whole Building,75,70.5,74.2,5.8,0.5,119.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3484920,37835,1427318.1,404967.4,317.6,185.1,132.5,69640,4442.3,63.79,116.9,04/29/2017 08:43:03 PM,No,In Compliance,40.81838,-73.901867,2,17,85,Longwood
6904,2797122,Maria Isabel Housing- 787 East 149th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026530001,2-02653-0001,2086465,787 East 149th Street,Not Available,10455,787,EAST 149 STREET,Bronx,70460,Multifamily Housing,"Multifamily Housing, Office, Parking",Multifamily Housing,70460,Office,1500,Parking,0,1988,1,100,Whole Building,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71960,3458.7,48.06,Not Available,05/01/2017 23:34:16,Yes,In Compliance,40.812801,-73.906944,1,8,79,Melrose South-Mott Haven North
6909,4996899,CC NEW - 810 East 152nd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026640061,2-02664-0061,2094310,810 East 152nd Street,Not Available,10455,810,EAST 152 STREET,Bronx,129384,Multifamily Housing,Multifamily Housing,Multifamily Housing,131384,Not Available,Not Available,Not Available,Not Available,2004,1,100,Whole Building,Not Available,25,100.4,107.2,6.8,0.8,161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.01464747E7,110389.3,3044075.4,892167.4,821.4,538.9,282.5,131384,11770,89.58,153.8,05/01/2017 14:58:14,Yes,In Compliance,40.815435,-73.905199,1,8,79,Melrose South-Mott Haven North
6910,5976323,801 Westchester Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026660041,2-02666-0041,2004795,801 Westchester Avenue,Not Available,10455,811,WESTCHESTER AVENUE,Bronx,98664,Office,Office,Office,67500,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Whole Building,82,81.7,82.3,8.7,0.2,147.2,Not Available,2506162.7,Not Available,Not Available,Not Available,Not Available,952180,10381,2053183.2,589504.3,427.1,236.6,190.5,67500,713.5,10.57,147.8,07/26/2017 04:27:55 PM,Yes,In Compliance,40.819173,-73.902607,1,17,77,Melrose South-Mott Haven North
6914,3501651,582-588 Union Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026740021,2-02674-0021,2004900,582-588 Union Avenue,Not Available,10455,584,UNION AVENUE,Bronx,54500,Multifamily Housing,"Multifamily Housing, Retail Store, Supermarket/Grocery Store",Multifamily Housing,54500,Retail Store,325,Supermarket/Grocery Store,315,1926,1,100,Whole Building,Not Available,Not Available,75.5,80,5.8,0.6,125,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3046400.2,33266.7,1117542.4,317105.7,265.5,161.8,103.7,55140,Not Available,Not Available,121.7,04/01/2017 21:16:37,No,In Compliance,40.813584,-73.905006,1,8,79,Melrose South-Mott Haven North
6915,3128619,West Side:  645 Prospect Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026740051,2-02674-0051,2004915,645 Prospect Ave,Not Available,10455,645,PROSPECT AVENUE,Bronx,112536,Multifamily Housing,Multifamily Housing,Multifamily Housing,131292,Not Available,Not Available,Not Available,Not Available,1985,1,100,Whole Building,Not Available,56,72.5,76,4.8,0.6,113.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7390600,78511.6,2132622.8,625035.9,590.5,392.6,197.9,131292,8354.2,63.63,110.1,04/27/2017 11:31:08 AM,Yes,In Compliance,40.81478,-73.903585,1,8,79,Melrose South-Mott Haven North
6917,5877641,814 WESTCHESTER AVENUE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026760049,2-02676-0049,2004992,814 WESTCHESTER AVENUE,Not Available,10455,814,WESTCHESTER AVENUE,Bronx,55500,Strip Mall,Strip Mall,Strip Mall,55000,Not Available,Not Available,Not Available,Not Available,1920,1,100,Whole Building,Not Available,Not Available,101.1,99.4,29.1,Not Available,312.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5559367.9,1602984.4,515.9,0,515.9,55000,2056.4,37.39,317.4,05/11/2017 15:22:16,Yes,In Compliance,40.819094,-73.902719,1,17,79,Melrose South-Mott Haven North
6918,4919396,919 Prospect Avenue - 25336,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026770070,2-02677-0070,2005012,919 Prospect Avenue,Not Available,10459,919,PROSPECT AVENUE,Bronx,57600,Multifamily Housing,Multifamily Housing,Multifamily Housing,58000,Not Available,Not Available,Not Available,Not Available,1907,1,100,Whole Building,Not Available,3,120.5,127.2,9.9,0.9,204.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5025873.9,54135.6,1961584.7,574907.5,449,266.9,182,58000,Not Available,Not Available,197.2,04/24/2017 10:46:35 AM,Yes,In Compliance,40.821711,-73.900789,3,17,133,Morrisania-Melrose
6921,4739004,zy Garcia 1021 Ave St John,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026830100,2026830100,2005092,1021 Ave St John,Not Available,10455,1021,AVENUE ST JOHN,Bronx,61878,Multifamily Housing,Multifamily Housing,Multifamily Housing,73200,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Whole Building,100,23.9,Not Available,Not Available,Not Available,Not Available,555999.9,Not Available,Not Available,Not Available,Not Available,Not Available,236453.9,Not Available,957884.6,Not Available,142.3,53.4,88.9,73200,Not Available,Not Available,52.2,05/01/2017 20:27:08,Yes,In Compliance,40.813137,-73.901546,2,8,83,Longwood
6922,4043249,920 Ave St John,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026860001,2026860001,2005121,920 Ave St John,Not Available,10455,920,AVENUE ST JOHN,Bronx,56953,Multifamily Housing,Multifamily Housing,Multifamily Housing,56952,Not Available,Not Available,Not Available,Not Available,1912,1,100,Whole Building,Whole Building,100,22,22,4,0.1,51.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,469537.7,4695.4,781185.9,228952.5,97.4,24.9,72.5,56952,1253.7,22.01,51.7,03/22/2017 04:29:11 PM,Yes,In Compliance,40.815682,-73.902839,2,17,83,Longwood
6927,4043946,Wavecrest - 881 East 162nd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026900081,2-02690-0081,2113131,881 East 162nd Street,Not Available,10459,881,EAST 162 STREET,Bronx,82000,Multifamily Housing,Multifamily Housing,Multifamily Housing,84460,Not Available,Not Available,Not Available,Not Available,2005,1,100,Whole Building,Whole Building,44,83.9,88,6.2,0.7,136.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5260883.1,56370.3,1829014.4,525972,449.2,279.4,169.7,84460,7784.2,92.16,133.4,05/01/2017 14:58:14,No,In Compliance,40.821271,-73.89972,2,17,12901,Longwood
6928,3529402,Wavecrest - 970 Prospect Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026900114,2-02690-0114,2005210,970 Prospect Avenue,Not Available,10459,970,PROSPECT AVENUE,Bronx,53208,Multifamily Housing,Multifamily Housing,Multifamily Housing,54804,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Whole Building,58,82.5,90.6,4,Not Available,120.9,Not Available,3764915.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,757032.2,221873.4,349.6,279.4,70.3,54804,5959.3,108.74,112.8,05/01/2017 14:58:14,No,In Compliance,40.823083,-73.900195,2,17,12901,Longwood
6929,4043947,Wavecrest - 861 East 163rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026900173,2-02690-0173,2109536,861 East 163rd Street,Not Available,10459,861,EAST 163 STREET,Bronx,72000,Multifamily Housing,Multifamily Housing,Multifamily Housing,74160,Not Available,Not Available,Not Available,Not Available,2004,1,100,Whole Building,Whole Building,2,148.7,160.7,6.7,1.4,216.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9296023.5,102194.8,1728302,498304.2,654.1,493.8,160.4,74160,7615,102.68,204.8,05/01/2017 14:58:14,Yes,In Compliance,40.821979,-73.89999,2,17,12901,Longwood
6930,2813848,"WESTCHESTER TRIANGLE, LLC",Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026907501,2-02690-7501,2115281,871 WESTCHESTER AVENUE,Not Available,10459,871,WESTCHESTER AVENUE,Bronx,77364,Multifamily Housing,"Multifamily Housing, Office, Other, Other - Entertainment/Public Assembly",Multifamily Housing,61415,Office,8334,Other - Entertainment/Public Assembly,637,2007,1,100,Whole Building,Whole Building,1,210.9,Not Available,6.9,1.9,Not Available,Not Available,394624.8,Not Available,Not Available,Not Available,Not Available,1.28011436E7,136487.9,1709774,490665.1,867.9,709.2,158.7,70667,Not Available,Not Available,271.8,03/17/2017 06:05:34 PM,Yes,In Compliance,40.820428,-73.900141,2,17,12901,Longwood
